Country,Population,Area (km2)
Density
Maldives,444259,300.0,1480.8633333333332
Mali,19107706,1220190.0,15.659615305813029
Malta,432089,320.0,1350.278125
Marshall Islands,53167,180.0,295.3722222222222
Martinique,385065,1060.0,363.2688679245283
Mauritania,4540068,1030700.0,4.404839429513922
Mauritius,1268315,2030.0,624.7857142857143
Mayotte,259682,375.0,692.4853333333333
Mexico,130759074,1943950.0,67.26462820545795
Micronesia,106227,700.0,151.75285714285715
Moldova,4041065,32850.0,123.01567732115677
Monaco,38897,1.0,38897.0
Mongolia,3121772,1553560.0,2.009431241793043
Montenegro,629219,13450.0,46.78208178438662
Montserrat,5203,100.0,52.03
Morocco,36191805,446300.0,81.09299798341922
Mozambique,30528673,786380.0,38.82178209008367
Myanmar,53855735,653290.0,82.43771525662416
Namibia,2587801,823290.0,3.1432435715240072
Nauru,11312,20.0,565.6
Nepal,29624035,143350.0,206.65528426927102
Netherlands,17084459,33720.0,506.6565539739027
New Caledonia,279821,18280.0,15.307494529540481
New Zealand,4749598,263310.0,18.038046409175497
Nicaragua,6284757,120340.0,52.225004154894464
Niger,22311375,1266700.0,17.613779900528932
Nigeria,195875237,910770.0,215.06553465748763
Niue,1624,260.0,6.246153846153846
North Korea,25610672,120410.0,212.69555684743793
Northern Mariana Islands,55194,460.0,119.98695652173913
Norway,5353363,365268.0,14.655986837062102
Oman,4829946,309500.0,15.605641357027464
Pakistan,200813818,770880.0,260.49945257368205
Palau,21964,460.0,47.74782608695652
Panama,4162618,74340.0,55.994323379069144
Papua New Guinea,8418346,452860.0,18.589290288389346
Paraguay,6896908,397300.0,17.359446262270325
Peru,32551815,1280000.0,25.43110546875
Philippines,106512074,298170.0,357.2192843009022
Poland,38104832,306230.0,124.43206740032002
Portugal,10291196,91590.0,112.36156785675293
Puerto Rico,3659007,8870.0,412.5148816234498
Qatar,2694849,11610.0,232.11447028423774
Reunion,883247,2500.0,353.2988
Romania,19580634,230170.0,85.07031324673068
Russia,143964709,16376870.0,8.790734065789128
Rwanda,12501156,24670.0,506.73514389947303
Saint Helena,4074,390.0,10.446153846153846
Saint Kitts & Nevis,55850,260.0,214.80769230769232
Saint Lucia,179667,610.0,294.5360655737705
Saint Pierre & Miquelon,6342,230.0,27.57391304347826
Samoa,197695,2830.0,69.85689045936395
San Marino,33557,60.0,559.2833333333333
Sao Tome & Principe,208818,960.0,217.51875
Saudi Arabia,33554343,2149690.0,15.608921751508356
Senegal,16294270,192530.0,84.63236898145743
Serbia,8762027,87460.0,100.18324948547908
Seychelles,95235,460.0,207.0326086956522
Sierra Leone,7719729,72180.0,106.95108063175395
Singapore,5791901,700.0,8274.144285714287
Sint Maarten,40552,34.0,1192.7058823529412
Slovakia,5449816,48088.0,113.330061553818
Slovenia,2081260,20140.0,103.33962264150944
Solomon Islands,623281,27990.0,22.26798856734548
Somalia,15181925,627340.0,24.200473427487488
South Africa,57398421,1213090.0,47.31588010782382
South Korea,51164435,97230.0,526.2206623470122
South Sudan,12919053,610952.0,21.145774136102347
Spain,46397452,498800.0,93.01814755412991
Sri Lanka,20950041,62710.0,334.0781534045607
St. Vincent & Grenadines,110200,390.0,282.56410256410254
State of Palestine,5052776,6020.0,839.331561461794
Sudan,41511526,1765048.0,23.518638586599344
Suriname,568301,156000.0,3.642955128205128
Swaziland,1391385,17200.0,80.89447674418605
Sweden,9982709,410340.0,24.32789637861286
Switzerland,8544034,39516.0,216.217076627189
Syria,18284407,183630.0,99.57200348526929
Taiwan,23694089,35410.0,669.1355266873765
Tajikistan,9107211,139960.0,65.07009859959989
Tanzania,59091392,885800.0,66.70963197109957
TFYR Macedonia,2085051,25220.0,82.67450436161776
Thailand,69183173,510890.0,135.41696451290883
Timor-Leste,1324094,14870.0,89.04465366509751
Togo,7990926,54390.0,146.91902923331494
Tokelau,1319,10.0,131.9
Tonga,109008,720.0,151.4
Trinidad and Tobago,1372598,5130.0,267.56296296296296
Tunisia,11659174,155360.0,75.04617662203914
Turkey,81916871,769630.0,106.43669165703
Turkmenistan,5851466,469930.0,12.451782180324729
Turks and Caicos,35963,950.0,37.85578947368421
Tuvalu,11287,30.0,376.23333333333335
U.K.,66573504,241930.0,275.1767205389989
U.S.,326766748,9147420.0,35.72228540943785
U.S. Virgin Islands,104914,350.0,299.7542857142857
Uganda,44270563,199810.0,221.56330013512837
Ukraine,44009214,579320.0,75.96701995442933
United Arab Emirates,9541615,83600.0,114.13415071770335
Uruguay,3469551,175020.0,19.823740143983546
Uzbekistan,32364996,425400.0,76.0813258110014
Vanuatu,282117,12190.0,23.143314191960624
Venezuela,32381221,882050.0,36.71132135366476
Viet Nam,96491146,310070.0,311.1914922436869
Wallis & Futuna,11683,140.0,83.45
Western Sahara,567421,266000.0,2.133161654135338
Yemen,28915284,527970.0,54.766907210636965
Zambia,17609178,743390.0,23.687671343440186
Zimbabwe,16913261,386850.0,43.72046271164534
